year,시도명,생육기_최고기온(°C)
2015,강원도,37.1
2015,경기도,36.3
2015,경상남도,37.4
2015,경상북도,38.7
2015,광주광역시,36.2
2015,대구광역시,38.3
2015,대전광역시,36.3
2015,부산광역시,33.5
2015,서울특별시,36
2015,세종특별자치시,36.3
2015,울산광역시,36.8
2015,인천광역시,33.5
2015,전라남도,37.1
2015,전라북도,36.6
2015,제주도,36.7
2015,충청남도,36.3
2015,충청북도,36.4
2016,강원도,36.6
2016,경기도,36.5
2016,경상남도,39.2
2016,경상북도,39.6
2016,광주광역시,37.2
2016,대구광역시,38.1
2016,대전광역시,37.6
2016,부산광역시,37.3
2016,서울특별시,36.6
2016,세종특별자치시,37.6
2016,울산광역시,35.7
2016,인천광역시,34
2016,전라남도,37.8
2016,전라북도,37
2016,제주도,35.5
2016,충청남도,36.2
2016,충청북도,36.7
2017,강원도,37.5
2017,경기도,37.1
2017,경상남도,39
2017,경상북도,39.7
2017,광주광역시,37.3
2017,대구광역시,38.4
2017,대전광역시,35.9
2017,부산광역시,36.2
2017,서울특별시,35.4
2017,세종특별자치시,35.9
2017,울산광역시,36.1
2017,인천광역시,34
2017,전라남도,37.2
2017,전라북도,37
2017,제주도,37
2017,충청남도,36.5
2017,충청북도,36.7
2018,강원도,41
2018,경기도,40.1
2018,경상남도,39.5
2018,경상북도,40.4
2018,광주광역시,38.5
2018,대구광역시,39.2
2018,대전광역시,39.4
2018,부산광역시,36.4
2018,서울특별시,39.6
2018,세종특별자치시,39.4
2018,울산광역시,37.3
2018,인천광역시,35.9
2018,전라남도,37.6
2018,전라북도,38.9
2018,제주도,35.5
2018,충청남도,39.3
2018,충청북도,40
2019,강원도,37.1
2019,경기도,37.3
2019,경상남도,36.9
2019,경상북도,37.6
2019,광주광역시,34.8
2019,대구광역시,36.9
2019,대전광역시,36
2019,부산광역시,35
2019,서울특별시,36.8
2019,세종특별자치시,35.5
2019,울산광역시,35
2019,인천광역시,36
2019,전라남도,35.4
2019,전라북도,36
2019,제주도,35.4
2019,충청남도,36.4
2019,충청북도,36.7
2020,강원도,36.8
2020,경기도,35.5
2020,경상남도,37.8
2020,경상북도,36.9
2020,광주광역시,34.4
2020,대구광역시,37
2020,대전광역시,35.4
2020,부산광역시,33.2
2020,서울특별시,35.4
2020,세종특별자치시,34.8
2020,울산광역시,35.5
2020,인천광역시,34.2
2020,전라남도,35.7
2020,전라북도,35.1
2020,제주도,36.3
2020,충청남도,34.9
2020,충청북도,36
2021,강원도,36.9
2021,경기도,36.3
2021,경상남도,38.3
2021,경상북도,37
2021,광주광역시,35.1
2021,대구광역시,37.2
2021,대전광역시,36.1
2021,부산광역시,35.6
2021,서울특별시,36.5
2021,세종특별자치시,34.8
2021,울산광역시,34.2
2021,인천광역시,34.8
2021,전라남도,36.5
2021,전라북도,36.3
2021,제주도,34.2
2021,충청남도,35.8
2021,충청북도,36.4
2022,강원도,37.7
2022,경기도,35.4
2022,경상남도,36.6
2022,경상북도,37.9
2022,광주광역시,34.8
2022,대구광역시,37.8
2022,대전광역시,35.7
2022,부산광역시,33.1
2022,서울특별시,36.1
2022,세종특별자치시,35.1
2022,울산광역시,35.2
2022,인천광역시,35.2
2022,전라남도,35
2022,전라북도,35.8
2022,제주도,37.5
2022,충청남도,35
2022,충청북도,36
2023,강원도,38.4
2023,경기도,35.6
2023,경상남도,37.8
2023,경상북도,37.8
2023,광주광역시,35.7
2023,대구광역시,37.7
2023,대전광역시,35.7
2023,부산광역시,35.7
2023,서울특별시,35.8
2023,세종특별자치시,35.9
2023,울산광역시,34.9
2023,인천광역시,34.6
2023,전라남도,36.6
2023,전라북도,37
2023,제주도,37.3
2023,충청남도,36.2
2023,충청북도,36.4
2024,강원도,38.5
2024,경기도,36
2024,경상남도,39.3
2024,경상북도,38.9
2024,광주광역시,37.2
2024,대구광역시,37.2
2024,대전광역시,36.6
2024,부산광역시,37
2024,서울특별시,36.4
2024,세종특별자치시,35.3
2024,울산광역시,35.9
2024,인천광역시,35.6
2024,전라남도,37
2024,전라북도,37.5
2024,제주도,35.5
2024,충청남도,36.7
2024,충청북도,37
